iter	Passed	Remaining
412	3455	13276
413	3463	13266
414	3470	13256
415	3479	13248
416	3487	13239
417	3495	13230
418	3503	13221
419	3512	13214
420	3521	13208
421	3529	13199
422	3538	13190
423	3545	13180
424	3554	13172
425	3562	13162
426	3570	13152
427	3578	13142
428	3586	13134
429	3595	13125
430	3603	13116
431	3611	13109
432	3620	13101
433	3628	13093
434	3636	13083
435	3644	13074
436	3652	13065
437	3660	13054
438	3668	13044
439	3676	13035
440	3684	13025
441	3692	13016
442	3700	13006
443	3708	12996
444	3716	12987
445	3725	12979
446	3733	12970
447	3740	12959
448	3748	12949
449	3756	12938
450	3764	12929
451	3772	12920
452	3780	12911
453	3788	12901
454	3796	12891
455	3804	12882
456	3812	12873
457	3820	12863
458	3828	12854
459	3837	12846
460	3845	12837
461	3853	12827
462	3861	12817
463	3869	12809
464	3877	12799
465	3885	12791
466	3894	12782
467	3902	12774
468	3910	12764
469	3918	12755
470	3926	12746
471	3934	12736
472	3942	12726
473	3950	12718
474	3958	12710
475	3966	12699
476	3975	12691
477	3983	12682
478	3991	12673
479	3999	12665
480	4007	12656
481	4014	12644
482	4023	12636
483	4031	12627
484	4039	12618
485	4047	12609
486	4056	12601
487	4064	12593
488	4072	12584
489	4080	12574
490	4088	12564
491	4096	12555
492	4104	12545
493	4111	12535
494	4120	12526
495	4127	12517
496	4135	12507
497	4144	12498
498	4152	12489
499	4159	12479
500	4168	12471
501	4176	12463
502	4185	12455
503	4193	12446
504	4201	12437
505	4209	12430
506	4217	12420
507	4225	12411
508	4234	12403
509	4241	12392
510	4249	12383
511	4257	12374
512	4266	12366
513	4274	12358
514	4282	12349
515	4290	12340
516	4299	12331
517	4307	12323
518	4315	12313
519	4323	12304
520	4331	12295
521	4339	12286
522	4347	12277
523	4355	12268
524	4363	12258
525	4371	12248
526	4379	12239
527	4387	12230
528	4395	12221
529	4402	12211
530	4411	12203
531	4418	12193
532	4426	12184
533	4435	12175
534	4443	12167
535	4451	12158
536	4459	12149
537	4467	12140
538	4475	12132
539	4483	12123
540	4491	12113
541	4499	12104
542	4507	12095
543	4516	12088
544	4524	12079
545	4532	12070
546	4540	12060
547	4548	12050
548	4555	12040
549	4563	12031
550	4571	12023
551	4580	12014
552	4588	12005
553	4596	11997
554	4604	11988
555	4612	11980
556	4620	11970
557	4629	11963
558	4637	11954
559	4645	11945
560	4653	11937
561	4662	11928
562	4669	11918
563	4677	11909
564	4685	11900
565	4693	11890
566	4701	11881
567	4709	11872
568	4717	11863
569	4724	11853
570	4733	11845
571	4741	11837
572	4749	11828
573	4757	11820
574	4765	11810
575	4773	11801
576	4782	11794
577	4791	11787
578	4799	11778
579	4806	11768
580	4815	11760
581	4823	11752
582	4831	11744
583	4840	11736
584	4848	11727
585	4856	11719
586	4864	11709
587	4872	11701
588	4880	11692
589	4889	11684
590	4897	11676
591	4905	11667
592	4913	11658
593	4921	11649
594	4929	11641
595	4937	11632
596	4946	11623
597	4953	11614
598	4961	11605
599	4970	11596
600	4978	11588
601	4986	11580
602	4995	11572
603	5002	11562
604	5011	11554
605	5019	11546
606	5027	11537
607	5035	11527
608	5042	11518
609	5050	11509
610	5058	11499
611	5066	11491
612	5074	11482
613	5082	11473
614	5090	11463
615	5098	11455
616	5106	11447
617	5115	11439
618	5123	11430
619	5131	11422
620	5140	11414
621	5148	11405
622	5156	11397
623	5164	11389
624	5172	11380
625	5180	11371
626	5189	11362
627	5197	11354
628	5205	11346
629	5214	11338
630	5222	11330
631	5230	11321
632	5238	11312
633	5246	11303
634	5254	11295
635	5262	11287
636	5271	11278
637	5279	11269
638	5287	11261
639	5295	11253
640	5303	11245
641	5312	11236
642	5320	11227
643	5328	11218
644	5335	11209
645	5344	11201
646	5352	11193
647	5360	11185
648	5369	11177
649	5377	11168
650	5385	11160
651	5393	11151
652	5402	11143
653	5410	11135
654	5418	11126
655	5426	11117
656	5434	11109
657	5443	11101
658	5451	11093
659	5459	11083
660	5467	11075
661	5475	11067
662	5483	11058
663	5491	11049
664	5500	11041
665	5509	11034
666	5516	11025
667	5525	11017
668	5533	11009
669	5541	11001
670	5550	10992
671	5558	10984
672	5565	10974
673	5574	10966
674	5582	10958
675	5590	10950
676	5598	10941
677	5607	10932
678	5615	10924
679	5623	10916
680	5631	10907
681	5639	10899
682	5647	10890
683	5655	10881
684	5664	10873
685	5672	10866
686	5681	10858
687	5689	10850
688	5697	10841
689	5706	10834
690	5714	10825
691	5722	10816
692	5730	10808
693	5739	10800
694	5747	10791
695	5755	10783
696	5763	10774
697	5771	10765
698	5778	10755
699	5786	10746
700	5794	10737
701	5802	10728
702	5810	10720
703	5818	10712
704	5826	10702
705	5834	10694
706	5843	10686
707	5850	10676
708	5858	10668
709	5867	10660
710	5875	10652
711	5884	10644
712	5892	10636
713	5900	10628
714	5908	10619
715	5916	10610
716	5924	10601
717	5932	10592
718	5940	10583
719	5948	10575
720	5957	10567
721	5965	10558
722	5972	10549
723	5980	10540
724	5988	10531
725	5996	10523
726	6004	10514
727	6012	10505
728	6021	10497
729	6029	10489
730	6037	10481
731	6045	10472
732	6053	10463
733	6061	10454
734	6069	10446
735	6077	10436
736	6085	10428
737	6092	10419
738	6100	10410
739	6109	10402
740	6117	10394
741	6126	10386
742	6134	10377
743	6142	10369
744	6150	10361
745	6158	10352
746	6167	10344
747	6175	10336
748	6183	10328
749	6191	10319
750	6199	10311
751	6207	10302
752	6216	10294
753	6223	10285
754	6232	10276
755	6240	10268
756	6247	10258
757	6256	10250
758	6264	10242
759	6272	10234
760	6280	10225
761	6288	10217
762	6296	10208
763	6305	10200
764	6313	10191
765	6321	10183
766	6329	10174
767	6337	10166
768	6345	10157
769	6353	10148
770	6361	10140
771	6369	10131
772	6377	10123
773	6386	10115
774	6394	10106
775	6401	10097
776	6409	10089
777	6417	10080
778	6425	10071
779	6433	10062
780	6441	10054
781	6449	10045
782	6457	10037
783	6465	10028
784	6474	10020
785	6482	10011
786	6490	10004
787	6499	9996
788	6508	9988
789	6516	9980
790	6524	9972
791	6532	9963
792	6540	9955
793	6548	9946
794	6556	9938
795	6564	9929
796	6572	9920
797	6581	9912
798	6589	9904
799	6597	9896
800	6606	9888
801	6614	9880
802	6622	9871
803	6630	9863
804	6638	9854
805	6646	9846
806	6654	9838
807	6662	9829
808	6671	9820
809	6678	9812
810	6686	9803
811	6695	9795
812	6702	9786
813	6710	9777
814	6718	9768
815	6726	9760
816	6734	9751
817	6743	9743
818	6751	9735
819	6760	9728
820	6768	9719
821	6776	9710
822	6784	9702
823	6792	9693
824	6800	9685
825	6808	9677
826	6816	9668
827	6825	9660
828	6833	9652
829	6841	9643
830	6849	9635
831	6857	9626
832	6865	9617
833	6873	9609
834	6881	9601
835	6890	9593
836	6898	9585
837	6907	9577
838	6915	9569
839	6923	9561
840	6931	9553
841	6939	9544
842	6948	9536
843	6956	9528
844	6964	9519
845	6972	9511
846	6980	9502
847	6989	9494
848	6998	9487
849	7006	9479
850	7015	9472
851	7024	9464
852	7032	9456
853	7040	9448
854	7049	9439
855	7056	9431
856	7065	9423
857	7073	9415
858	7081	9406
859	7089	9397
860	7097	9389
861	7105	9380
862	7113	9371
863	7121	9363
864	7129	9355
865	7138	9347
866	7146	9338
867	7153	9329
868	7161	9320
869	7169	9312
870	7177	9303
871	7185	9295
872	7193	9286
873	7201	9278
874	7210	9270
875	7218	9262
876	7226	9253
877	7234	9245
878	7242	9237
879	7250	9228
880	7258	9219
881	7266	9211
882	7275	9202
883	7283	9194
884	7291	9186
885	7299	9177
886	7308	9170
887	7316	9162
888	7324	9153
889	7332	9145
890	7340	9136
891	7348	9128
892	7356	9120
893	7365	9112
894	7373	9103
895	7381	9095
896	7389	9087
897	7398	9078
898	7406	9070
899	7414	9061
900	7422	9053
901	7430	9045
902	7438	9036
903	7446	9028
904	7454	9019
905	7462	9011
906	7470	9002
907	7478	8994
908	7486	8985
909	7495	8977
910	7503	8969
911	7511	8961
912	7519	8952
913	7528	8945
914	7536	8936
915	7544	8928
916	7552	8919
917	7560	8911
918	7568	8902
919	7576	8894
920	7584	8885
921	7592	8876
922	7600	8869
923	7609	8861
924	7618	8853
925	7626	8845
926	7635	8837
927	7643	8828
928	7651	8820
929	7659	8812
930	7666	8803
931	7674	8794
932	7682	8786
933	7690	8777
934	7698	8769
935	7706	8759
936	7713	8751
937	7722	8742
938	7730	8734
939	7738	8726
940	7746	8717
941	7754	8709
942	7762	8700
943	7770	8692
944	7778	8684
945	7786	8675
946	7794	8667
947	7803	8659
948	7811	8650
949	7819	8642
950	7827	8633
951	7835	8625
952	7843	8617
953	7852	8609
954	7860	8601
955	7868	8593
956	7877	8585
957	7885	8577
958	7893	8568
959	7902	8560
960	7910	8552
961	7918	8544
962	7927	8536
963	7935	8528
964	7943	8519
965	7951	8511
966	7959	8503
967	7968	8494
968	7976	8486
969	7984	8478
970	7992	8470
971	8000	8461
972	8008	8452
973	8016	8444
974	8024	8436
975	8032	8427
976	8040	8419
977	8048	8410
978	8056	8402
979	8064	8394
980	8072	8385
981	8080	8376
982	8088	8368
983	8096	8360
984	8104	8351
985	8112	8343
986	8121	8335
987	8129	8327
988	8137	8318
989	8145	8309
990	8153	8301
991	8161	8293
992	8169	8284
993	8177	8276
994	8185	8267
995	8193	8259
996	8202	8251
997	8210	8243
998	8218	8234
999	8226	8226
1000	8233	8217
1001	8242	8209
1002	8250	8201
1003	8258	8192
1004	8266	8184
1005	8274	8175
1006	8282	8167
1007	8290	8159
1008	8298	8150
1009	8307	8142
1010	8315	8134
1011	8323	8125
1012	8331	8117
1013	8339	8109
1014	8348	8101
1015	8356	8093
1016	8364	8084
1017	8373	8076
1018	8381	8068
1019	8388	8059
1020	8397	8051
1021	8405	8043
1022	8413	8035
1023	8421	8026
1024	8429	8018
1025	8437	8010
1026	8446	8002
1027	8454	7994
1028	8462	7985
1029	8470	7977
1030	8478	7968
1031	8487	7961
1032	8495	7952
1033	8503	7944
1034	8510	7935
1035	8519	7927
1036	8527	7918
1037	8535	7910
1038	8543	7902
1039	8552	7894
1040	8560	7885
1041	8568	7877
1042	8576	7869
1043	8584	7860
1044	8592	7852
1045	8600	7844
1046	8609	7836
1047	8617	7828
1048	8625	7820
1049	8633	7811
1050	8642	7803
1051	8649	7794
1052	8657	7786
1053	8665	7777
1054	8673	7769
1055	8681	7761
1056	8689	7752
1057	8698	7744
1058	8706	7736
1059	8714	7727
1060	8722	7719
1061	8730	7711
1062	8739	7703
1063	8747	7694
1064	8755	7686
1065	8763	7678
1066	8771	7670
1067	8779	7661
1068	8788	7653
1069	8796	7645
1070	8804	7636
1071	8812	7628
1072	8820	7620
1073	8827	7611
1074	8836	7603
1075	8844	7595
1076	8852	7586
1077	8860	7578
1078	8868	7570
1079	8877	7561
1080	8884	7553
1081	8892	7544
1082	8900	7536
1083	8909	7528
1084	8917	7520
1085	8925	7511
1086	8933	7503
1087	8940	7494
1088	8949	7486
1089	8957	7478
1090	8965	7469
1091	8973	7461
1092	8981	7452
1093	8988	7444
1094	8996	7435
1095	9004	7427
1096	9012	7418
1097	9020	7410
1098	9028	7401
1099	9036	7393
1100	9044	7385
1101	9052	7377
1102	9061	7368
1103	9068	7360
1104	9076	7351
1105	9084	7343
1106	9092	7334
1107	9100	7326
1108	9108	7318
1109	9116	7309
1110	9125	7301
1111	9133	7293
1112	9141	7285
1113	9149	7276
1114	9157	7268
1115	9165	7260
1116	9173	7251
1117	9181	7243
1118	9190	7235
1119	9198	7227
1120	9206	7218
1121	9214	7210
1122	9221	7201
1123	9229	7193
1124	9237	7184
1125	9245	7176
1126	9253	7168
1127	9262	7160
1128	9270	7151
1129	9278	7143
1130	9286	7135
1131	9294	7127
1132	9302	7118
1133	9311	7110
1134	9319	7102
1135	9327	7094
1136	9336	7086
1137	9344	7077
1138	9352	7069
1139	9360	7061
1140	9368	7053
1141	9376	7044
1142	9384	7036
1143	9392	7027
1144	9400	7019
1145	9408	7011
1146	9416	7002
1147	9424	6994
1148	9432	6985
1149	9440	6977
1150	9448	6969
1151	9456	6961
1152	9465	6953
1153	9473	6944
1154	9482	6937
1155	9490	6929
1156	9498	6920
1157	9506	6912
1158	9514	6904
1159	9522	6895
1160	9530	6887
1161	9538	6879
1162	9546	6870
1163	9555	6862
1164	9563	6854
1165	9570	6845
1166	9578	6837
1167	9586	6828
1168	9594	6820
1169	9603	6812
1170	9611	6804
1171	9619	6796
1172	9627	6787
1173	9635	6779
1174	9643	6771
1175	9651	6762
1176	9660	6754
1177	9667	6746
1178	9675	6737
1179	9683	6729
1180	9691	6720
1181	9699	6712
1182	9707	6704
1183	9716	6696
1184	9724	6687
1185	9732	6679
1186	9740	6671
1187	9749	6663
1188	9756	6655
1189	9764	6646
1190	9773	6638
1191	9781	6630
1192	9789	6621
1193	9796	6613
1194	9805	6605
1195	9813	6596
1196	9821	6588
1197	9828	6579
1198	9836	6571
1199	9845	6563
1200	9853	6555
1201	9861	6546
1202	9870	6539
1203	9878	6530
1204	9885	6522
1205	9893	6513
1206	9901	6505
1207	9909	6497
1208	9918	6489
1209	9926	6481
1210	9935	6473
1211	9943	6464
1212	9951	6456
1213	9959	6448
1214	9967	6440
1215	9975	6431
1216	9983	6423
1217	9992	6415
1218	10000	6407
1219	10009	6399
1220	10017	6391
1221	10025	6382
1222	10033	6374
1223	10041	6365
1224	10048	6357
1225	10056	6349
1226	10065	6341
1227	10073	6332
1228	10081	6324
1229	10090	6316
1230	10098	6308
1231	10106	6300
1232	10115	6292
1233	10123	6284
1234	10131	6275
1235	10139	6267
1236	10147	6259
1237	10156	6251
1238	10164	6242
1239	10171	6234
1240	10180	6226
1241	10187	6217
1242	10195	6209
1243	10203	6201
1244	10211	6192
1245	10220	6184
1246	10228	6176
1247	10236	6168
1248	10244	6159
1249	10252	6151
1250	10260	6143
1251	10268	6134
1252	10276	6126
1253	10285	6118
1254	10293	6110
1255	10301	6102
1256	10309	6093
1257	10317	6085
1258	10325	6077
1259	10334	6069
1260	10342	6060
1261	10350	6052
1262	10358	6044
1263	10366	6036
1264	10375	6028
1265	10383	6020
1266	10391	6012
1267	10399	6003
1268	10407	5995
1269	10415	5987
1270	10424	5978
1271	10432	5970
1272	10440	5962
1273	10448	5954
1274	10456	5945
1275	10464	5937
1276	10472	5929
1277	10481	5921
1278	10489	5912
1279	10497	5904
1280	10505	5896
1281	10513	5888
1282	10521	5879
1283	10528	5871
1284	10536	5862
1285	10544	5854
1286	10552	5845
1287	10560	5837
1288	10569	5829
1289	10577	5821
1290	10586	5813
1291	10594	5805
1292	10603	5797
1293	10612	5789
1294	10620	5781
1295	10628	5773
1296	10635	5764
1297	10643	5756
1298	10651	5748
1299	10659	5739
1300	10667	5731
1301	10676	5723
1302	10684	5715
1303	10692	5706
1304	10700	5698
1305	10708	5690
1306	10716	5682
1307	10725	5674
1308	10733	5665
1309	10741	5657
1310	10749	5649
1311	10757	5641
1312	10765	5632
1313	10773	5624
1314	10781	5616
1315	10789	5607
1316	10797	5599
1317	10805	5591
1318	10813	5583
1319	10821	5574
1320	10830	5566
1321	10838	5558
1322	10847	5550
1323	10855	5542
1324	10863	5534
1325	10871	5526
1326	10879	5517
1327	10887	5509
1328	10895	5501
1329	10904	5492
1330	10912	5484
1331	10919	5476
1332	10928	5468
1333	10936	5460
1334	10944	5451
1335	10953	5443
1336	10961	5435
1337	10968	5427
1338	10976	5418
1339	10984	5410
1340	10992	5401
1341	11000	5393
1342	11008	5385
1343	11016	5377
1344	11024	5368
1345	11032	5360
1346	11040	5352
1347	11048	5343
1348	11056	5335
1349	11064	5327
1350	11071	5318
1351	11080	5310
1352	11088	5302
1353	11096	5294
1354	11104	5286
1355	11113	5277
1356	11121	5269
1357	11129	5261
1358	11137	5253
1359	11145	5244
1360	11153	5236
1361	11161	5228
1362	11169	5219
1363	11177	5211
1364	11185	5203
1365	11193	5195
1366	11201	5187
1367	11210	5178
1368	11217	5170
1369	11226	5162
1370	11234	5154
1371	11242	5146
1372	11250	5137
1373	11258	5129
1374	11266	5120
1375	11274	5112
1376	11282	5104
1377	11290	5096
1378	11299	5088
1379	11307	5080
1380	11315	5071
1381	11323	5063
1382	11331	5055
1383	11339	5047
1384	11347	5038
1385	11356	5030
1386	11364	5022
1387	11372	5014
1388	11381	5006
1389	11389	4998
1390	11397	4989
1391	11405	4981
1392	11413	4973
1393	11421	4964
1394	11429	4956
1395	11437	4948
1396	11445	4940
1397	11453	4932
1398	11462	4924
1399	11470	4916
1400	11479	4907
1401	11487	4899
1402	11495	4891
1403	11504	4883
1404	11512	4875
1405	11521	4867
1406	11529	4859
1407	11537	4850
1408	11545	4842
1409	11553	4834
1410	11561	4826
1411	11569	4817
1412	11577	4809
1413	11586	4801
1414	11594	4793
1415	11602	4785
1416	11610	4777
1417	11618	4768
1418	11627	4760
1419	11635	4752
1420	11643	4744
1421	11651	4735
1422	11659	4727
1423	11667	4719
1424	11676	4711
1425	11684	4703
1426	11693	4695
1427	11702	4687
1428	11711	4679
1429	11719	4671
1430	11728	4663
1431	11736	4655
1432	11745	4647
1433	11753	4639
1434	11762	4631
1435	11771	4623
1436	11779	4615
1437	11788	4607
1438	11796	4598
1439	11805	4590
1440	11813	4582
1441	11821	4574
1442	11829	4566
1443	11837	4558
1444	11845	4549
1445	11854	4541
1446	11862	4533
1447	11871	4525
1448	11879	4517
1449	11887	4508
1450	11895	4500
1451	11903	4492
1452	11911	4484
1453	11919	4475
1454	11927	4467
1455	11935	4459
1456	11943	4451
1457	11951	4442
1458	11959	4434
1459	11967	4426
1460	11975	4418
1461	11983	4409
1462	11991	4401
1463	11999	4393
1464	12008	4385
1465	12016	4377
1466	12024	4368
1467	12032	4360
1468	12040	4352
1469	12048	4344
1470	12056	4335
1471	12064	4327
1472	12073	4319
1473	12080	4311
1474	12088	4302
1475	12097	4294
1476	12105	4286
1477	12114	4278
1478	12122	4270
1479	12130	4262
1480	12138	4253
1481	12145	4245
1482	12153	4237
1483	12161	4228
1484	12169	4220
1485	12177	4212
1486	12185	4203
1487	12193	4195
1488	12201	4187
1489	12209	4179
1490	12217	4170
1491	12225	4162
1492	12234	4154
1493	12242	4146
1494	12250	4138
1495	12258	4129
1496	12266	4121
1497	12274	4113
1498	12283	4105
1499	12291	4097
1500	12299	4088
1501	12307	4080
1502	12315	4072
1503	12323	4064
1504	12331	4055
1505	12339	4047
1506	12347	4039
1507	12355	4031
1508	12363	4022
1509	12372	4014
1510	12380	4006
1511	12388	3998
1512	12396	3990
1513	12403	3981
1514	12412	3973
