iter	Passed	Remaining
412	3454	13273
413	3462	13263
414	3470	13254
415	3478	13245
416	3486	13236
417	3494	13226
418	3502	13217
419	3510	13205
420	3518	13195
421	3526	13186
422	3534	13178
423	3542	13169
424	3551	13160
425	3559	13151
426	3568	13144
427	3576	13134
428	3583	13124
429	3591	13114
430	3599	13104
431	3607	13093
432	3615	13084
433	3623	13075
434	3631	13065
435	3639	13056
436	3647	13046
437	3655	13035
438	3663	13026
439	3671	13016
440	3679	13008
441	3687	12999
442	3696	12990
443	3704	12981
444	3712	12972
445	3721	12965
446	3729	12955
447	3737	12946
448	3744	12935
449	3752	12925
450	3760	12916
451	3768	12906
452	3776	12897
453	3784	12888
454	3792	12878
455	3800	12868
456	3809	12860
457	3816	12850
458	3824	12840
459	3832	12832
460	3841	12824
461	3849	12815
462	3857	12805
463	3865	12794
464	3873	12785
465	3881	12776
466	3889	12768
467	3897	12759
468	3905	12748
469	3913	12738
470	3921	12729
471	3929	12720
472	3937	12710
473	3945	12701
474	3953	12691
475	3961	12684
476	3970	12677
477	3979	12670
478	3987	12661
479	3995	12652
480	4003	12643
481	4012	12635
482	4020	12628
483	4029	12620
484	4037	12611
485	4045	12603
486	4053	12594
487	4061	12585
488	4070	12576
489	4078	12568
490	4086	12558
491	4094	12548
492	4102	12539
493	4110	12529
494	4118	12522
495	4126	12512
496	4134	12502
497	4142	12494
498	4150	12484
499	4158	12475
500	4166	12466
501	4175	12459
502	4183	12449
503	4191	12441
504	4200	12433
505	4208	12425
506	4216	12416
507	4225	12409
508	4233	12399
509	4241	12391
510	4249	12383
511	4260	12381
512	4268	12372
513	4276	12364
514	4284	12354
515	4292	12345
516	4300	12336
517	4309	12329
518	4317	12319
519	4324	12309
520	4332	12300
521	4340	12289
522	4348	12280
523	4356	12270
524	4364	12262
525	4372	12253
526	4380	12244
527	4388	12235
528	4397	12227
529	4405	12219
530	4413	12210
531	4422	12202
532	4430	12194
533	4438	12185
534	4446	12176
535	4454	12167
536	4463	12159
537	4471	12150
538	4479	12140
539	4486	12130
540	4494	12122
541	4503	12113
542	4511	12104
543	4519	12095
544	4527	12086
545	4535	12077
546	4543	12067
547	4551	12059
548	4559	12049
549	4567	12040
550	4574	12030
551	4582	12021
552	4590	12012
553	4598	12003
554	4606	11994
555	4614	11985
556	4623	11977
557	4631	11968
558	4639	11960
559	4647	11950
560	4655	11942
561	4664	11934
562	4672	11926
563	4680	11918
564	4688	11908
565	4696	11899
566	4704	11890
567	4713	11883
568	4721	11874
569	4730	11866
570	4738	11858
571	4746	11850
572	4755	11842
573	4763	11833
574	4771	11824
575	4779	11816
576	4787	11807
577	4795	11798
578	4804	11790
579	4811	11781
580	4820	11772
581	4828	11763
582	4836	11755
583	4844	11746
584	4852	11737
585	4861	11729
586	4869	11721
587	4878	11713
588	4886	11705
589	4894	11697
590	4902	11688
591	4910	11678
592	4918	11669
593	4926	11661
594	4935	11653
595	4943	11645
596	4951	11636
597	4960	11629
598	4968	11621
599	4976	11612
600	4984	11603
601	4992	11594
602	5000	11585
603	5009	11577
604	5017	11568
605	5025	11560
606	5034	11552
607	5042	11543
608	5050	11534
609	5057	11525
610	5066	11517
611	5074	11508
612	5082	11500
613	5090	11490
614	5098	11481
615	5106	11472
616	5114	11463
617	5121	11453
618	5129	11443
619	5137	11435
620	5145	11427
621	5153	11417
622	5162	11410
623	5170	11400
624	5178	11391
625	5186	11382
626	5194	11374
627	5202	11365
628	5211	11358
629	5219	11350
630	5228	11342
631	5236	11334
632	5244	11326
633	5253	11318
634	5261	11309
635	5269	11300
636	5277	11291
637	5285	11284
638	5295	11279
639	5305	11274
640	5314	11266
641	5323	11259
642	5331	11250
643	5340	11244
644	5348	11236
645	5356	11227
646	5364	11218
647	5372	11209
648	5380	11200
649	5388	11191
650	5396	11182
651	5404	11173
652	5412	11164
653	5420	11155
654	5428	11147
655	5436	11138
656	5445	11130
657	5453	11122
658	5461	11114
659	5470	11106
660	5478	11098
661	5486	11088
662	5494	11079
663	5502	11071
664	5510	11062
665	5518	11053
666	5526	11044
667	5534	11035
668	5542	11027
669	5551	11020
670	5559	11011
671	5567	11002
672	5575	10993
673	5583	10984
674	5591	10975
675	5599	10966
676	5607	10957
677	5615	10948
678	5623	10939
679	5631	10931
680	5638	10921
681	5647	10913
682	5654	10903
683	5662	10895
684	5670	10886
685	5679	10877
686	5687	10869
687	5694	10859
688	5702	10850
689	5710	10842
690	5719	10834
691	5727	10826
692	5736	10818
693	5744	10811
694	5753	10802
695	5761	10794
696	5769	10786
697	5777	10777
698	5785	10768
699	5793	10759
700	5801	10750
701	5809	10742
702	5817	10733
703	5825	10724
704	5833	10715
705	5841	10707
706	5849	10698
707	5858	10690
708	5866	10681
709	5874	10673
710	5883	10666
711	5891	10657
712	5899	10648
713	5907	10640
714	5915	10631
715	5924	10623
716	5932	10615
717	5940	10607
718	5948	10598
719	5956	10589
720	5965	10581
721	5973	10573
722	5982	10566
723	5990	10557
724	5998	10549
725	6006	10540
726	6014	10531
727	6022	10522
728	6030	10514
729	6038	10506
730	6047	10497
